,links,names,ratings,price for one,crusine
0,https://www.zomato.com/bangalore/bathinda-junction-koramangala-7th-block-bangalore/order,Bathinda Junction,4.0,₹150 for one,"North Indian, Chinese, Mughlai"
1,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,FreshMenu,3.8,₹150 for one,"Continental, North Indian, Biryani"
2,https://www.zomato.com/bangalore/big-bowl-company-koramangala-7th-block-bangalore/order,Big Bowl Company,3.6,₹150 for one,"North Indian, Chinese, Biryani"
3,https://www.zomato.com/bangalore/leon-grill-st-marks-road/order,Leon Grill,4.2,₹150 for one,"Burger, Wraps, Fast Food, Beverages"
4,https://www.zomato.com/bangalore/food-manthra-ulsoor-bangalore/order,Food Manthra,3.5,₹150 for one,"North Indian, Chinese, Biryani, Rolls"
5,https://www.zomato.com/bangalore/empire-restaurant-church-street/order,Empire Restaurant,4.0,₹150 for one,"North Indian, Mughlai, Arabian, South Indian, Chinese"
6,https://www.zomato.com/bangalore/chandni-chowk-2-bangalore-brigade-road-bangalore/order,Chandni Chowk 2 Bangalore,3.6,₹150 for one,"North Indian, Rolls, Beverages"
7,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order,Nandhini Deluxe,4.1,₹150 for one,"Andhra, Biryani, South Indian, North Indian, Chinese"
8,https://www.zomato.com/bangalore/falahaar-kota-kachori-indiranagar-bangalore/order,Falahaar & Kota Kachori,4.0,₹150 for one,"Rajasthani, Fast Food, Street Food, Mithai"
9,https://www.zomato.com/bangalore/glens-bakehouse-lavelle-road/order,Glen's Bakehouse,4.2,₹150 for one,"Bakery, Cafe, Pizza, Desserts, Beverages"
10,https://www.zomato.com/bangalore/donne-biryani-corner-residency-road-bangalore/order,Donne Biryani Corner,3.5,₹150 for one,"Biryani, South Indian"
11,https://www.zomato.com/bangalore/dindigul-thalappakatti-brigade-road-bangalore/order,Dindigul Thalappakatti,4.0,₹150 for one,"Biryani, South Indian, North Indian, Chinese, Mughlai"
12,https://www.zomato.com/bangalore/punjabi-nawabi-koramangala-7th-block-bangalore/order,Punjabi Nawabi,3.6,₹150 for one,"North Indian, Biryani, Mughlai, Chinese"
13,https://www.zomato.com/bangalore/kannur-food-point-btm/order,Kannur Food Point,3.8,₹150 for one,"Kerala, Chinese, South Indian, Beverages"
14,https://www.zomato.com/bangalore/chai-point-residency-road/order,Chai Point,4.2,₹150 for one,"Tea, North Indian, Fast Food, Street Food, Beverages"
15,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,Corner House Ice Creams,4.5,₹150 for one,"Desserts, Ice Cream, Beverages"
16,https://www.zomato.com/bangalore/california-burrito-cunningham-road/order,California Burrito,4.3,₹150 for one,"Mexican, Fast Food"
17,https://www.zomato.com/bangalore/eatfit-cunningham-road-bangalore/order,EatFit,4.1,₹150 for one,"Healthy Food, North Indian, Burger, Biryani, Pizza"
18,https://www.zomato.com/bangalore/idc-kitchen-richmond-road-bangalore/order,IDC Kitchen,4.2,₹150 for one,"South Indian, Ice Cream, Desserts"
19,https://www.zomato.com/bangalore/subway-lavelle-road/order,Subway,3.8,₹150 for one,"Healthy Food, Wraps, Sandwich, Salad, Fast Food"
20,https://www.zomato.com/bangalore/roti-ghar-basavanagudi/order,Roti Ghar,4.0,₹150 for one,"North Indian, Chinese, South Indian, Street Food, Ice Cream, Beverages"
21,https://www.zomato.com/bangalore/adigas-1-church-street-bangalore/order,Adiga's,3.6,₹150 for one,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages"
22,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore/order,Rotti Walla,3.9,₹150 for one,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts"
23,https://www.zomato.com/bangalore/donne-biriyani-house-indiranagar-bangalore/order,Donne Biriyani House,3.6,₹150 for one,Biryani
24,https://www.zomato.com/bangalore/rajhans-st-marks-road-bangalore/order,Rajhans,4.0,₹100 for one,"North Indian, Chinese, Fast Food, Beverages"
25,https://www.zomato.com/bangalore/sardarji-londonwaley-koramangala-7th-block-bangalore/order,Sardarji Londonwaley,3.6,₹100 for one,"North Indian, Chinese"
26,https://www.zomato.com/bangalore/burger-king-commercial-street/order,Burger King,4.1,₹100 for one,"Burger, Fast Food, Beverages, Desserts"
27,https://www.zomato.com/bangalore/sri-udupi-park-residency-road/order,Sri Udupi Park,4.1,₹100 for one,"South Indian, Chinese, Street Food, Beverages, North Indian"
28,https://www.zomato.com/bangalore/manis-dum-biryani-ulsoor/order,Mani's Dum Biryani,4.3,₹100 for one,Biryani
29,https://www.zomato.com/bangalore/magnolia-bakery-indiranagar-bangalore/order,Magnolia Bakery,4.4,₹100 for one,"Bakery, Desserts"
30,https://www.zomato.com/bangalore/puliyogare-point-basavanagudi/order,Puliyogare Point,4.3,₹100 for one,"South Indian, Desserts"
31,https://www.zomato.com/bangalore/halli-jonne-biriyani-jayanagar/order,Halli Jonne Biriyani,4.2,₹100 for one,"Biryani, North Indian"
32,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order,Royal Restaurant,3.9,₹100 for one,"North Indian, Chinese"
33,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/order,Sharief Bhai,4.0,₹100 for one,"Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages"
34,https://www.zomato.com/bangalore/orbis-restaurant-indiranagar-bangalore/order,Orbis Restaurant,4.0,₹100 for one,"Mughlai, Biryani, North Indian, Arabian, Chinese"
